"listing_value","tweets_Name","tweets_Date","tweets_Text","tweets_Replies","tweets_Retweets","tweets_Likes","tweets_Images","tweets_imageURL","tweets_hrefURL","remove"
"","cnn.com","","President Donald Trump signs first bill into law","56","192","428","https://pbs.twimg.com/card_img/1334591114184110080/bbrMq-Gn?format=jpg&name=small","https://pbs.twimg.com/card_img/1334591114184110080/bbrMq-Gn?format=jpg&name=small","https://t.co/ovCRSRuMUe?amp=1","1"
"","CNN Breaking News","Jan 20, 2017","JUST IN: President Trump signs his first documents as 45th President of the United States","148","499","1K","https://pbs.twimg.com/card_img/1333478860764155905/Gk_t14WF?format=jpg&name=360x360","https://pbs.twimg.com/card_img/1333478860764155905/Gk_t14WF?format=jpg&name=360x360","https://t.co/TwT11YrQCS?amp=1","1"
"","SnappyTV features are now in Twitter Media Studio","","JUST IN: President Trump signs his first documents as 45th President of the United States","148","499","1K","https://pbs.twimg.com/card_img/1333478860764155905/Gk_t14WF?format=jpg&name=360x360","https://pbs.twimg.com/card_img/1333478860764155905/Gk_t14WF?format=jpg&name=360x360","https://t.co/TwT11YrQCS?amp=1","1"
"","SnappyTV features and core functionality can now be found in Media Studio, Twitter’s content management platform for publishers. LiveCut in Media Studio allows you to create video clips from your...","","JUST IN: President Trump signs his first documents as 45th President of the United States","148","499","1K","https://pbs.twimg.com/card_img/1333478860764155905/Gk_t14WF?format=jpg&name=360x360","https://pbs.twimg.com/card_img/1333478860764155905/Gk_t14WF?format=jpg&name=360x360","https://t.co/TwT11YrQCS?amp=1","1"
"","media.twitter.com","","JUST IN: President Trump signs his first documents as 45th President of the United States","148","499","1K","https://pbs.twimg.com/card_img/1333478860764155905/Gk_t14WF?format=jpg&name=360x360","https://pbs.twimg.com/card_img/1333478860764155905/Gk_t14WF?format=jpg&name=360x360","https://t.co/TwT11YrQCS?amp=1","1"
"","CNN Breaking News","Jan 20, 2017","Former President Obama takes the stage at Joint Base Andrews as crowd chants, “Yes we can!”","117","1.2K","3.4K","https://pbs.twimg.com/amplify_video_thumb/822507068934488066/img/eEamDMhkvQjdI2e0.jpg","","","1"
"","CNN Breaking News","Jan 20, 2017","#InaugurationDay","105","319","696","","","","1"
"","CNN Breaking News","Jan 20, 2017","President Trump and VP Pence wave goodbye to the Obamas as they depart the US Capitol","117","633","1.1K","https://pbs.twimg.com/card_img/1333478860764155905/Gk_t14WF?format=jpg&name=360x360","https://pbs.twimg.com/card_img/1333478860764155905/Gk_t14WF?format=jpg&name=360x360","https://t.co/wxTPMiSuhP?amp=1","1"
"","SnappyTV features are now in Twitter Media Studio","","President Trump and VP Pence wave goodbye to the Obamas as they depart the US Capitol","117","633","1.1K","https://pbs.twimg.com/card_img/1333478860764155905/Gk_t14WF?format=jpg&name=360x360","https://pbs.twimg.com/card_img/1333478860764155905/Gk_t14WF?format=jpg&name=360x360","https://t.co/wxTPMiSuhP?amp=1","1"
"","SnappyTV features and core functionality can now be found in Media Studio, Twitter’s content management platform for publishers. LiveCut in Media Studio allows you to create video clips from your...","","President Trump and VP Pence wave goodbye to the Obamas as they depart the US Capitol","117","633","1.1K","https://pbs.twimg.com/card_img/1333478860764155905/Gk_t14WF?format=jpg&name=360x360","https://pbs.twimg.com/card_img/1333478860764155905/Gk_t14WF?format=jpg&name=360x360","https://t.co/wxTPMiSuhP?amp=1","1"
