"listing_value","tweets_Name","tweets_Date","tweets_Text","tweets_Retweets","tweets_Likes","tweets_Replies","tweets_Images","tweets_imageURL","tweets_hrefURL","remove"
"","CNN Breaking News","Mar 14, 2011","death toll reaches 1,886, with at least 2,369 missing, police say. http://on.cnn.com/fpRk6P","512","21","","","","","1"
"","CNN Breaking News","Mar 14, 2011","hit reactor when coolant ran out, Kyodo reports. http://on.cnn.com/fpRk6P","323","17","","","","","1"
"","CNN Breaking News","Mar 14, 2011","stricken nuclear plant. http://on.cnn.com/fpRk6P","273","17","","","","","1"
"","CNN Breaking News","Mar 14, 2011","Worker falls to his death at Kennedy Space Center, NASA says. http://on.cnn.com/fjnHmv","123","26","","","","","1"
"","CNN Breaking News","Mar 14, 2011","Police: Gunman who shot 4 deputies, 2 fatally, is dead. http://on.cnn.com/fmGOvq","95","136","11","","","","1"
"","CNN Breaking News","Mar 14, 2011","zone. http://on.cnn.com/fpRk6P","223","20","","","","","1"
"","CNN Breaking News","Mar 14, 2011",". http://on.cnn.com/fja869","720","21","","","","","1"
"","CNN Breaking News","Mar 14, 2011","Worker falls to his death at Kennedy Space Center, NASA says. http://on.cnn.com/fjnHmv","123","26","","","","","1"
"","CNN Breaking News","Mar 14, 2011","Police: Gunman who shot 4 deputies, 2 fatally, is dead. http://on.cnn.com/fmGOvq","95","136","11","","","","1"
"","CNN Breaking News","Mar 14, 2011","zone. http://on.cnn.com/fpRk6P","223","20","","","","","1"
"","CNN Breaking News","Mar 14, 2011",". http://on.cnn.com/fja869","720","21","","","","","1"
"","CNN Breaking News","Mar 14, 2011","Tests detect radioactivity on 17 U.S. Navy crew members in Japan http://on.cnn.com/eCO20p","509","33","","","","","1"
"","CNN Breaking News","Mar 14, 2011","relief http://on.cnn.com/dUOLYG","112","19","","","","","1"
"","CNN Breaking News","Mar 14, 2011","takes toll on Japan's fragile economy http://on.cnn.com/gzxEhB","91","10","","","","","1"
"","CNN Breaking News","Mar 14, 2011","death toll rises http://on.cnn.com/fja869","164","9","","","","","1"
"","CNN Breaking News","Mar 14, 2011","http://on.cnn.com/eS8t3D","92","10","","","","","1"
"","CNN Breaking News","Mar 14, 2011","-damaged nuclear plant in Japan hurts 6 people http://on.cnn.com/egJRmX","197","10","","","","","1"
"","CNN Breaking News","Mar 14, 2011","in Japan http://on.cnn.com/dXfIGI","161","12","","","","","1"
"","CNN Breaking News","Mar 14, 2011","search and rescue efforts in Japan http://on.cnn.com/dXfIGI","308","25","","","","","1"
"","CNN Breaking News","Mar 14, 2011","NHK: Japan's nuclear safety agency reports explosion at Fukushima Daiichi nuclear power plant's No. 3 reactor http://on.cnn.com/fA8njR","1.5K","107","","","","","1"
"","CNN Breaking News","Mar 14, 2011","http://on.cnn.com/fA8njR","1K","43","","","","","1"
"","CNN Breaking News","Mar 14, 2011","http://on.cnn.com/fA8njR","526","24","","","","","1"
"","CNN Breaking News","Mar 13, 2011","found radiation levels have returned to normal at the Onagawa nuclear power plant http://on.cnn.com/hoySnf","522","29","","","","","1"
"","CNN Breaking News","Mar 13, 2011","http://on.cnn.com/eVV5jH","324","28","","","","","1"
"","CNN Breaking News","Mar 13, 2011",". http://on.cnn.com/gwUD9O","146","14","","","","","1"
"","CNN Breaking News","Mar 13, 2011",". http://on.cnn.com/fA8njR","230","12","","","","","1"
"","CNN Breaking News","Mar 13, 2011",". http://on.cnn.com/fA8njR","176","13","","","","","1"
"","CNN Breaking News","Mar 13, 2011","zone. http://on.cnn.com/fA8njR","195","22","","","","","1"
